id,channel_id,product_channel_marketplace_id,error,sku,error_keyword,error_code,is_fixed,mark_as_resolved,action_type,severity,meta_data,created_by,updated_by,createdAt,updatedAt,is_ignored,is_product_errors,product_attribute_id,product_variant_attribute_id,product_variant_id,product_id,amazon_marketplace_id,task_queue_id,amazon_attribute_hierarchy_id,type
117114,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V15,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117113,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V12,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117112,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V13,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117111,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V10,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117110,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V11,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117109,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V9,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117108,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V4,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117107,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V3,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117106,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V1,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
117105,505,NULL,Cannot read properties of undefined (reading 'data')::Cannot read properties of undefined (reading 'data'),874521036-V2,PRODUCT_CREATE_ERROR,CATEGRA,False,False,NULL,error,"{""stack"": ""TypeError: Cannot read properties of undefined (reading 'data')\n    at AmazonProductBSQ2Service.processAllAmazonParentProducts (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:438:81)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at AmazonProductBSQ2Service.processAmazonProductBSQ2 (/var/www/categra/staging/api/src/modules/app/syncing/productSyncing/amazon/amazonProductBSQ2.service.ts:191:5)\n    at QueueProcessor.process (/var/www/categra/staging/api/src/modules/app/queue/queue.processor.ts:158:6)\n    at Worker.bullmq_1.Worker.connection [as processFn] (/var/www/categra/staging/api/src/modules/app/queue/queue.service.ts:207:5)\n    at /var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:917:26\n    at Worker.retryIfFailed (/var/www/categra/staging/api/node_modules/bullmq/src/classes/worker.ts:1181:16)"", ""batchSize"": 1, ""batchIndex"": 74, ""productName"": ""Ceramic Vases Set of 2,Moder White Round Vase Rustic Home Decor，Frosted Ceramic Vase Apply to Living Room、 Kitchen、Mantle、Bedroom、Dining Table、Office"", ""currentQueue"": ""sync-amazon-create-base-product""}",NULL,NULL,2025-11-27 09:30:53.75965+00,2025-11-27 09:30:53.75965+00,False,True,NULL,NULL,NULL,NULL,2,5504,NULL,NULL
